Concept,Short-concept-name,CoreTheory,CLIPARC
vertical & horizontal,vertical & horizontal,Geometry,Shape-Features
alternate,alternate,Goal-Directedness,Shape-Features
half,half,Objectness,Shape-Features
perpendicular,perpendicular,Objectness,Shape-Features
hole,hole,Objectness,Shape-Features
straight,straight,Objectness,Shape-Features
concentric,concentric,Objectness,Shape-Features
connected,connected,Objectness,Shape-Features
shadows,shadows,Objectness,Shape-Features
arm,arm,Objectness,Shape-Features
gradient,gradient,Objectness,Shape-Features
bounding box,bounding box,Objectness,Shape-Features
object area,object area,Objectness,Shape-Features
parallel,parallel,Geometry,Shape-Features
edge,edge,Geometry,Layout
in/out/contain,In/out,Geometry,Layout
corner,corner,Geometry,Layout
equidistant,equidistant,Geometry,Layout
middle/center,Center,Geometry,Layout
between,between,Geometry,Layout
gap/distance,Distance,Geometry,Layout
align,align,Goal-Directedness,Layout
adjacent,adjacent,Objectness,Layout
overlap,overlap,Objectness,Layout
touch,touch,Objectness,Layout
left/right/top/bottom/above/below,Relative position,Objectness,Layout
surround/border/boundary,Border,Objectness,Layout
random,random,Natural-Numbers,Shapes
path,path,Objectness,Shapes
zigzag,zigzag,Objectness,Shapes
wave,wave,Objectness,Shapes
rectangle,rectangle,Objectness,Shapes
square,square,Objectness,Shapes
stair/step,stair/step,Objectness,Shapes
cluster/clutter,Clutter,Objectness,Shapes
motif,motif,Objectness,Shapes
triangle,triangle,Objectness,Shapes
L-shape,L-shape,Objectness,Shapes
circle,circle,Objectness,Shapes
line,line,Objectness,Shapes
diagonal,diagonal,Objectness,Shapes
spiral,spiral,Objectness,Shapes
star/flower/plus/T-shape,Star,Objectness,Shapes
polygon,polygon,Objectness,Shapes
noise,noise,Objectness,Shapes
divider,divider,Objectness,Shapes
obstruct,obstruct,Objectness,Shapes
symmetry,symmetry,Geometry,Transformation
fill with color/pattern,Fill,Goal-Directedness,Transformation
extend/continue/propagate,Continue,Goal-Directedness,Transformation
complete,Complete,Goal-Directedness,Transformation
move,Move,Goal-Directedness,Transformation
compare size,Compare Size,Goal-Directedness,Transformation
denoise,denoise,Goal-Directedness,Transformation
repeat/copy,Copy,Goal-Directedness,Transformation
crop/compact/summarize,Compact,Goal-Directedness,Transformation
logical operation,Logical,Goal-Directedness,Transformation
scale size,Scale,Goal-Directedness,Transformation
overlay,overlay,Goal-Directedness,Transformation
color match,Color Match,Goal-Directedness,Transformation
connect,Connect,Goal-Directedness,Transformation
replace,replace,Goal-Directedness,Transformation
find pattern/shape/object,Find,Goal-Directedness,Transformation
invert,invert,Goal-Directedness,Transformation
change color,change color,Goal-Directedness,Transformation
separate,separate,Goal-Directedness,Transformation
count,count,Natural-Numbers,Transformation
sort,sort,Natural-Numbers,Transformation
superlative: repetition,Superl.: repetition,Natural-Numbers,Transformation
superlative: position (e.g. topmostor nearest),Superl.: position,Natural-Numbers,Transformation
superlative: size,Superl.: size,Natural-Numbers,Transformation
even/odd,even/odd,Natural-Numbers,Transformation
unique: color,unique: color,Natural-Numbers,Transformation
